Tarih,Close,Open,High,Low
14.02.2014,2.181,2.1843,2.1991,2.1757
17.02.2014,2.1767,2.1839,2.194,2.175
18.02.2014,2.1804,2.181,2.1911,2.1753
19.02.2014,2.2145,2.1809,2.2166,2.173
20.02.2014,2.2013,2.2136,2.2213,2.194
21.02.2014,2.1787,2.2026,2.2075,2.175
24.02.2014,2.2021,2.1806,2.2027,2.1688
25.02.2014,2.2122,2.2058,2.2261,2.1926
26.02.2014,2.2279,2.2127,2.2548,2.1968
27.02.2014,2.2138,2.2264,2.2477,2.211
28.02.2014,2.2093,2.2129,2.2247,2.2004
03.03.2014,2.2321,2.2016,2.2352,2.2016
04.03.2014,2.2065,2.2321,2.2324,2.2022
05.03.2014,2.2031,2.2063,2.2132,2.1982
06.03.2014,2.1803,2.2036,2.2092,2.1748
07.03.2014,2.2055,2.1805,2.2077,2.178
10.03.2014,2.2186,2.2042,2.2252,2.2012
11.03.2014,2.2466,2.2193,2.2475,2.2112
12.03.2014,2.2323,2.2516,2.2642,2.2323
13.03.2014,2.2327,2.2331,2.238,2.2171
